stopword removal,Score_Positif,Score_Negatif,Sentiment,Score
perang trump ajal,1,-3,Negatif,-2
indonesia tutup selat malaka,1,-1,Netral,0
eh lapet narasi stasiun tv,1,-1,Netral,0
iran main biar lihat sikon trump mumet ngadepin paus leo gegara mulut trump ahlak etika tonton eropa vs teroris amerika,1,-3,Negatif,-2
iran is bestbikin amerika serikat bingung tingak tinguk,1,-2,Negatif,-1
akal iran buka kapal biar amerika serikat pusing sortir kapal seludup iran taktik banjir selat kapal biar seludup bahan rudal,2,-2,Netral,0
iran senjata nuklir imbang israil amerika serikat,1,-2,Negatif,-1
peliiiii ntiir yoooook he he he media indonesia pe o tukang belok fakta,1,-1,Netral,0
amerika serikat bangkeslalu kalah strategi iran,1,-1,Netral,0
iraannn takut bom amerika serikat kanjut perang mati hidup pilih,1,-3,Negatif,-2
bangsa tingkat cerdas,2,-1,Positif,1
bravo iran,1,-1,Netral,0
pusing donald,1,-2,Negatif,-1
makassar hadir simak,1,-1,Netral,0
anjing oblis trump mati,1,-3,Negatif,-2
irgc iran kalah,1,-1,Netral,0
blokade berakir enas tua kapal kapal tempur cegat dron misil iran,1,-2,Negatif,-1
lu want peace has ready war,1,-1,Netral,0
hajar aswad tuntut nyawa manusia,1,-1,Netral,0
moga selat hormuz n kubur massal bunuh perompak n rampok pluss teroris dunia gerombolann amerika serikat,1,-3,Negatif,-2
amerika takut,1,-3,Negatif,-2
takut amerika,1,-3,Negatif,-2
allah rohman rohim moga rakyat iran umat muslim dunia lindung allah swt amin amin amin rabbal alamin bravo iran,1,-1,Netral,0
i love you iran,1,-1,Netral,0
alas kuat perang dunia,1,-3,Negatif,-2
liter iran tempur jual beli ngater abu,1,-2,Negatif,-1
harap perang cina rusia blokade asurika,1,-3,Negatif,-2
trump kakepaling serakah dunia miskin dasar pikun,1,-2,Negatif,-1
amerika serikat tahan pakkalau hati hati iran padang pasirfikir lojik,1,-1,Netral,0
tembak je ladia bedil negara kau xde plak nk warning,1,-1,Netral,0
hajar iran rudal balistik,1,-1,Netral,0
bravo iran,1,-1,Netral,0
pakai aba aba ran gas amer jaya iran,1,-1,Netral,0
tembak iran maksa masuk selat hormuz,1,-1,Netral,0
trumpil stres berani perang darat nyuba perang laut,3,-3,Netral,0
iran tenggelam kapal amerika usir,1,-2,Negatif,-1
ayo iran kasih kendor hancur israel habis tentara amerika serikat,1,-1,Netral,0
n lb,1,-1,Netral,0
kalah nego dajjald tramp bego,1,-1,Netral,0
amerika menjinikkan,1,-1,Netral,0
drama perang,1,-3,Negatif,-2
tamu undangbuat pulang nama,1,-1,Netral,0
mbah trump turu wae enak golek kerjanan,2,-1,Positif,1
amerika israel negara jajah moga telan laut allah iniamin,1,-1,Netral,0
indonesia lawan korupsi kagak bisaapalgi lawan negara,1,-3,Negatif,-2
mati jajah antekanteknya bravo dunia islam,1,-3,Negatif,-2
usir rudal,1,-1,Netral,0
iran menang allahu akbar,2,-1,Positif,1
gertak sambel ujung ujung keook,1,-1,Netral,0
amerika negara kocak negara atur pimpin amerika pilih amerika tuhan enak atur atur negara sampah amerika,2,-2,Netral,0
allahu akbar allahu akbar allahu akbar,1,-1,Netral,0
indonesia emis bbm singapore malaysia sorry no indonesia hebat kaya sumber alam gas najis lembu kah kah kah,4,-1,Positif,3
trump gila,1,-2,Negatif,-1
habis amerika serikat mantap,1,-1,Netral,0
juoosss bravo iran,1,-1,Netral,0
wohoo bbm murah,1,-2,Negatif,-1
negara lran agama syiah suni kafir n lslam dukung palestina zalim amerika lsrael hancur negara palestin usir rakyat kemanusiaantidak pakat damaitunggu balas allah kafir jahat,4,-3,Positif,1
amerka lsrael negara arab lsrael raya rompak minyak iran perang amerika serang duluanlran negara lslam arab sadar bahawa amerika lsrael rompak minyak n tunduk merekalran sadar,1,-3,Negatif,-2
noa amerika damai n hantar kapa perosak izin masuk kawasan,1,-1,Netral,0
sombong rugi signifikanbravo iran,1,-2,Negatif,-1
niat rampok kilang minyak milik iran bangsa sia kaum salman alfarisi negara muslim jilat,1,-1,Netral,0
alas air internasionalitu cermin licik takut,1,-3,Negatif,-2
berita gantung sumber versi beda,1,-1,Netral,0
trompet gila pilih percaya negara jaya tangan,1,-2,Negatif,-1
sikap bangsa berani rakyat perintah negara maruah negara tolak sikap bacul takut mati,3,-3,Netral,0
usir tembak langsung,1,-1,Netral,0
umat bersatumntap,1,-1,Netral,0
amerika israel dalang,1,-1,Netral,0
hak iran trump kuasa selat hormuz dasar amerika negara adikuasa sombong moga cepat mampus manusia setang,2,-2,Netral,0
iran tembak suruh putar,1,-1,Netral,0
bravo iran,1,-1,Netral,0
gunting gunting gunting kabel gunting kabel,1,-1,Netral,0
bombardir amerika serikat wenang wenang iran negara anti amerika serikat negara dukung iran,4,-1,Positif,3
presiden amerika serikat donald trump budak pm israel netanyahu,1,-1,Netral,0
moga menang iran bela sejati palestina,2,-1,Positif,1
amerika israel real jajah kutuk,1,-1,Netral,0
allh moga bencana alam amerika,1,-4,Negatif,-3
amerika blokade selat hormuz sapu ranjau laut pakai butuh internasional kapal kapal aman,2,-1,Positif,1
iran rudal ribu lindung negara,1,-1,Netral,0
bicara iran lasung rudal amerika serikat lasung rudal kemarin jet tepurnya,1,-1,Netral,0
suka suka je blok kapal negara,3,-2,Positif,1
iran takut allah doa usir merekapulang negara amerika serikat serakah tamak,1,-3,Negatif,-2
syiah iran laknatullah bunuh umat islam surya iraq hancur,1,-1,Netral,0
subhanallah rakyat perintah peduli,2,-2,Netral,0
kapal amerika langsung ledak langsung rudal,1,-1,Netral,0
iran kerenmengusir yahudi langsung bunuh,1,-1,Netral,0
selat hormuz negara amerika sehat,2,-1,Positif,1
nyata kapal perang amerika serikat kecut gertak langsung ciutt kabur,1,-3,Negatif,-2
laut hormuz daerah kuasa iran,1,-1,Netral,0
iran pakai rudal kapal al israel kasih langsung tenggelam,1,-2,Negatif,-1
trump berhbtila kau omong beespekulasi ngonkong lhomatilho lawan tentara allah swtallah ygmiliku dunia iniallah bantu iran sayng iranaamiiin,1,-2,Negatif,-1
amerika serikat israil kiamat tengelam bumiselmat iran rusia china koeut pkistan tengelamkan diamerdekaaamiiin,1,-1,Netral,0
malas tonton tv berita indonesia hoax,1,-2,Negatif,-1
opung trump negara kuasa stel rumah,1,-1,Netral,0
trump sia teh jalma goblog jiga jurig sara ngarasa kawasagoblog euweuh prikamanusaan,1,-1,Netral,0
hajar hancur hercules lawan guliat,1,-2,Negatif,-1
allahu akbar free palestine ilove you iran,1,-1,Netral,0
tanda iran negara adab serang serang kaya dajjal trump sok kuasa serang adab udk lari otaknyaudh gila kuasa kasihan manusia hidup kaya moga sifat dajjal trump,1,-3,Negatif,-2
rudal iran amerika serikat selat hormuz,1,-1,Netral,0
status perang adegan usir knapa rudal,1,-3,Negatif,-2
allah iran allahuakbar,1,-1,Netral,0
mahu jajah negara lainmesti iran bangsa berani bijak hadap halang propaganda imperialis,3,-2,Positif,1
moga iran lindung allah amin,1,-1,Netral,0
negara kecuali iran takut amerika,1,-3,Negatif,-2
donald bebek trump jahat puncuri nyata dunia,1,-3,Negatif,-2
cari cari bantai pergi tenggelam amerika serikat kalah bidang pikir kotor,1,-2,Negatif,-1
tuhan yesus kristus kati operation epic fury amin,1,-1,Netral,0
iran china rusia korut runtuh unisoviet amin,1,-2,Negatif,-1
teknologi iran china rusia korut macan kertas penuh palsu,1,-2,Negatif,-1
susah presiden odgjseenaknya serang negara berdaulatbetul presiden tolol,1,-3,Negatif,-2
berita indonesia hoax banyakomong kosongdasar dukung iran dajjal,4,-1,Positif,3
donald trump kapai ngotak ngatik negara donald otak bebek,1,-1,Netral,0
kapal selam hancur kapal musuh,1,-3,Negatif,-2
moga iran bom hancur negara tetangganyahnya resah doang,1,-3,Negatif,-2
kaya raja blok kade trumpalasan iran nuklirbrasa negara berani lwan amerikahanya iran berani lwandasar donald bebek,3,-2,Positif,1
otak isi taii percaya,1,-2,Negatif,-1
beww iran keren dukung amerika iran kalah amerika amerika kalah,4,-1,Positif,3
percaya iran tipu tipu amin allahuakbar,1,-2,Negatif,-1
kanoha berita spitboot iran usir kapal induk amerika serikat bawa jet tempur drone cangih kapal perang usak milik aslucu,1,-3,Negatif,-2
mah propaganda iran warga irgciran mah babak bur berani lawan warga sipil iran bantai ribu rezim bengis khamenei bantai islam suni suriah ribu lebanonyamansaya muslim pro rakyat amerika serikat israel rezim bengis khamenei batai islam suni suriah tampil media indonesia masuk kompas kagum letoy hidup rakyat iran moga allah swt lindung dixaman penuh munafik amerika serikat n,4,-3,Positif,1
tangan trump hancur amerika mata,1,-1,Netral,0
kpannnbiar rugi,1,-1,Netral,0
teoritis kapal gerak lambat dilimdungi meriamphalanx,1,-2,Negatif,-1
gila kali amerika serikat,1,-2,Negatif,-1
trump presiden arogan mua picu ribut dunia internasional,1,-3,Negatif,-2
allohumma parriq jamahum wa aqlil adadahum waqosri umurohum,1,-1,Netral,0
amerika cemburu banget iran kaki sipat kafir dipungkiri jaman,1,-1,Netral,0
trump pimpin gaya bicara mulut penuh kotor tahi,1,-2,Negatif,-1
kompas berita hoax,1,-1,Netral,0
tembak kapal perang amerika,1,-3,Negatif,-2
waduhhhhkompas tv cari pengamatyg dikit husen gaza pakai,1,-1,Netral,0
bodohin hoaxkenapa tembak hormuzmaz kapal coba cek kompas tv tipu beritaparah,1,-2,Negatif,-1
donald duck trump is a real psychopath and terrorist hi trump straith hormuz is bong iran your country,1,-1,Netral,0
amerika kocak,1,-1,Netral,0
usin iran kapal amerika serikat lawan takut beravo iran dukung iran,4,-3,Positif,1
habis kapal amerika serikat bravo iran,1,-1,Netral,0
bikin mati marinir amerika serikat bkerja gaji gede trump sabodoteing,1,-3,Negatif,-2
donald jahat dalih musnah,1,-3,Negatif,-2
moga bangsa setan musnah dunia,1,-4,Negatif,-3
genjatan senjata alas amerika serang,1,-2,Negatif,-1
trump stres blokade senin selasa hoax omong,1,-2,Negatif,-1
banggax iran,1,-1,Netral,0
usir tinggal pencet,1,-1,Netral,0
tinggal tekan tombol habis,1,-1,Netral,0
ah bullshit ber duakek tahi perang lekas perang selesai nyusahain manusia dunia,1,-3,Negatif,-2
dukung negara amerika lawan kecuali dunia kiamat,4,-2,Positif,2
iran menang tinggal speedboat doankmelawan armada kapal industry lengkap haluu banget berita kompas,2,-1,Positif,1
kalain aas istael akann kalain malu,1,-3,Negatif,-2
lihat amerika anut ideologi jajah,1,-1,Netral,0
iran pantang serah lawan negara superpower mamarike negara rusuh isriwil vs ajar mundur laku dzalim lawan monster juang tetes darah biar mamarike iran mudah lawan cina rusia jaman beda jaman sekutu sekutu kecut,1,-2,Negatif,-1
egois amerika kuasa hak bebas dagang negara,3,-1,Positif,2
kenap langsung rudal kapal perang musuh,1,-3,Negatif,-2
irang cuman menng media indonesia,1,-1,Netral,0
hebat salut iran tegak usir jajah dunia sombong rakus usak duniayaitu negara genosida suku indian negara amerika bravo iran,4,-2,Positif,2
asurika jajah moderen,1,-1,Netral,0
speed boat vs kapal perang usak,1,-3,Negatif,-2
usir berani tembak,3,-1,Positif,2
kapal amerika bawa peluru kendali pesawat intai dron intai,1,-2,Negatif,-1
iran bom kapal usak amerika selat hormuskarena ajan gabung kapal ampibi yan bawa pesawat tempur f laiteing f reptor,1,-2,Negatif,-1
mantap iran,1,-1,Netral,0
allahu akbar,1,-1,Netral,0
kapal israel langsung hancur nyata iran pikir tembak kapal,1,-1,Netral,0
lindung iran allah menang perang,2,-3,Negatif,-1
isrel ribu rudal irn jawabana islam ajar perang lawan lakilaki perempuan anakanak,1,-3,Negatif,-2
panic indonesia hayo bahlil,1,-1,Netral,0
nasranisaya trump gila stres tuju bijak langgar hukum damai dunia tetapiada rubah pandang perang inikebanyakan netizen indonesia iran negara islamiran agama pandang agamaapakah perang agama tolong agama iran nasrani agama laindan pikir perang agamakalau sangkut perang agamasaya perang,1,-3,Negatif,-2
usir rudal biar tenggelam,1,-2,Negatif,-1
iran pikir kali hadap koalisi iran rusia china korea utara,1,-1,Netral,0
i love you iran,1,-1,Netral,0
usir langsung tembak,1,-1,Netral,0
iran lebay cuman kapal usak doang masuk wilayah pura pura indonesia kapal induk amerika masuk laut aceh papa diam,1,-1,Netral,0
dikit venejuela dikit venejuela taii trump trump,1,-1,Netral,0
hidup irantuhan kati amin yra,1,-1,Netral,0
fanboy amerika serikat israel entar howak sakit mata kah sakit telinga,1,-2,Negatif,-1
kabar kapal induk amerika serikat iran detik kunjung,1,-1,Netral,0
teriak bravo israel sono pergi israel indonesia ngakunya sodara agama ludah,1,-2,Negatif,-1
negara demo atou lawan amerika serikat negara atou musnah amerika serikat negara invensi amerika serikat israel negara peng hakim,1,-2,Negatif,-1
allah tuhan hancur amerika israel,1,-1,Netral,0
negara beli cina rusia,1,-1,Netral,0
blok kade amerika serikat jual cina,1,-2,Negatif,-1
kapal perang usak amerika si kabur cepat al iran,1,-3,Negatif,-2
sekutu iran r bantu habis amerika serikat,1,-1,Netral,0
warga indonesia mari dukung damai butuh pokok barang barang lonjak derita,4,-1,Positif,3
amerika paham negosiasi amerika serikat negosiasi arti tunduk iranini dikte negosiasi iran nolak iran negosiasi kecuali sesuai tuntut iran,1,-2,Negatif,-1
usir jajah,1,-1,Netral,0
yaallah kuat lawan setan dunia israel n amerika serikat,1,-4,Negatif,-3
harap jalesveva jayamahe irgc navy martabat hormat,3,-1,Positif,2
iran tembak kapal amerika syarikat,1,-1,Netral,0
ngeri iran angatan senjata kunci kepal usak amerika serikat kali angaktan senjata a si kaya badut,1,-2,Negatif,-1
blokade pikir,1,-1,Netral,0
latnatullah donald bebek trompet,1,-1,Netral,0
negara preman otak masak milik atur malu semuanegara daulat dunia serang takut negara preman amerika coba lawan iran amerika sekutu negara daulat larang bikin senjata nuklir bela tahan daulat negara atur negara preman kacau dunia amerika negara rampok alias preman dunia,1,-3,Negatif,-2
kapal amerika serikat laut aceh indonesia purapura lihat ani paham indonesia apaapanya banding iran,1,-1,Netral,0
iran menang perangknp israel bantu amerikamereka nyali lawan iran,2,-2,Netral,0
amerika campur urus negara lainbelagak kuasa dunia,1,-1,Netral,0
pakai usir tebak,1,-1,Netral,0
donald gilaterlalu berhayal,1,-1,Netral,0
i love iran,1,-1,Netral,0
negara beli alutsista sampah mahal negara teroris amerika,1,-3,Negatif,-2
negara munafik ganas iran indonesia ngemis omon omon,1,-4,Negatif,-3
lari kocar kacir kapal usak amerika lock iran amerika jago film perang tivi,1,-3,Negatif,-2
amerika malu kampung jual minyak sendiriemang,1,-3,Negatif,-2
kapal amerika serikat absen biar lihat kerja habis kabur mati konyol kerja gaji sayang anak istri rumah,3,-3,Netral,0
heran digertakbodoh pemimpn mati bunuh tembak lihat,1,-3,Negatif,-2
usir tinggal roket kapal milik amerika masuk selat hormuz,1,-1,Netral,0
memng patut kapal amerika serikat kene halaudy plk sebok nk tol kawasan orgperangai syaitandy pikir alat tentera suka hati kacau negara orgpuihhh negara jajah amerika,3,-2,Positif,1
bedil babi kapal amerika wkwk,1,-1,Netral,0
maju kalah,1,-1,Netral,0
china rusia diam,1,-1,Netral,0
iran indonesia perintah perang rakyat perang,1,-3,Negatif,-2
abu janda buta colok,1,-2,Negatif,-1
kemimpinan trump hancur lebur lawan iran,1,-2,Negatif,-1
trump rampok,1,-1,Netral,0
salah iran usir kapal amerika serikat iran usir tenggelam kapal amerika serikat,1,-2,Negatif,-1
good senapan hiu gencat senjata batal permanen,1,-2,Negatif,-1
amerika maling minyak,1,-1,Netral,0
ngeri ngeri sedep kuba bantu uni soviet vs amerika kaya kapten kapal amerika korban pangkat biar serang kapal uni soviet,1,-3,Negatif,-2
kasih ampun rural,1,-1,Netral,0
bosan dengar berita tipu tipu media iran indonesia suka kutip berita hoaks ajar islam usaha klaim biar lihat rendahbiadab anjing islam,3,-2,Positif,1
iran kristen islam iran setan amerika setan goblok kristen benci islam islam benci kristen islam duluan benci kristen,1,-4,Negatif,-3
trump perintah militer preman jalan salut warga amerika serikat guling trump presiden pikun mmbuat amerika serikat bangkrut minggu,2,-3,Negatif,-1
lengser trumpettt,1,-1,Netral,0
negara iran berani lawan amerika,3,-2,Positif,1
dholim hancur fahimtum,1,-1,Netral,0
trumm guoblok,1,-1,Netral,0
haha amric bangor banget,2,-1,Positif,1
wilayah enak main blokadebom kapal amrik tuman,2,-1,Positif,1
libat tuhan,1,-1,Netral,0
bohong donald bebek,1,-1,Netral,0
israel amerika kenal hukum rimba menang semboyan israel amerika,2,-1,Positif,1
kapal usak amerika serikat rusak,1,-2,Negatif,-1
mantap banget negara iran nyali kaleng kaleng,1,-1,Netral,0
bodohhh pekokkk tolol iran usirrrr rudallll tembak tenggelam,1,-3,Negatif,-2
tida percaya iran usir keleim bohong bilang pm israel tewas e nyata bukti pm israel senyum dah kapai ancam tembak lihat nama perang lat tembak itunamanya t a lu t,3,-3,Netral,0
hidup iran,1,-1,Netral,0
tailah hoax celeng usir bodohhh tololllnya iran rudal tembakkkk,1,-1,Netral,0
bangga iran,2,-1,Positif,1
segitu bangga media indonesia,2,-1,Positif,1
donald masuk gejala sia,1,-2,Negatif,-1
selat hormuz iran ngapa amerika blokade hormuz,1,-1,Netral,0
tindak amerika terjadimaka perang dunia mata,1,-3,Negatif,-2
amerika serikat menyulik presiden venezuela minyak nyagiliran amerika serikat laku iran lihat jahat sungguh dunia amerika serikat israel musnah muka bumi,1,-2,Negatif,-1
iran mantap bismillah allah lindung rakyat iran zolim israil amerika amin allah,1,-1,Netral,0
amerika serikat treeees milik laiinkok kuasain,1,-1,Netral,0
kapal amirika pringatkan langsung tembak,1,-1,Netral,0
kapal usak kapal dajjal,1,-1,Netral,0
rusia untung,1,-1,Netral,0
berita hoax,1,-1,Netral,0
beda irgc mamarikameski posisi perang diplomasidan musuh,1,-3,Negatif,-2
usir tembak,1,-1,Netral,0
allohhuakbar doa umat muslim,1,-1,Netral,0
donald trump bebek blokade selat hormuz donald trump bebek siapaaa gubris iran habis kuat iran sekutu sekutu maju pantang mundur iran allah swt engkau iran allah swt super menang telak engkau iran kendur semangat engkau lapis masyarakat ulama tentara jabat jabat publik publik,3,-2,Positif,1
hx usir,1,-1,Netral,0
stupid donald,1,-1,Netral,0
usir amerika sekutu sekutu wenang wenang maju iran,1,-1,Netral,0
amerika serikat ngalangin kapal thanker china siaap amerika serikat ajak ribut china,1,-1,Netral,0
allah wakbar,1,-1,Netral,0
jurus mabuk bikin sekutu sekutu,1,-3,Negatif,-2
bismilahirohmanirahim nawaitu wa asma wa doa i alf semoqa umat islam lindung allah seqa bahaya,1,-2,Negatif,-1
amerika kaya anjing koar doang tunggu iran perang darat amerika takut,1,-3,Negatif,-2
amerika serikat bantu sifat begal,1,-1,Netral,0
kerja dajjal rakus iri dengki manusia hak hidup kelam gatel langgar hukum hukum kaya atur bumi langit gapai bumi pas pas ukur hukum allah,2,-3,Negatif,-1
presiden amerika donald trump biang keladi kacau,1,-2,Negatif,-1
sumpah iran best banget gantengganteng,1,-1,Netral,0
perang musuh mata buka tembak suruh,1,-3,Negatif,-2
iran singa lapar bagusssss,1,-1,Netral,0
selat hormouzt daerah teritorial iran wajar patroli aman,2,-2,Netral,0
congor trump koar serang ragu,1,-3,Negatif,-2
berisik studio jeda reporter bicara enak banget,4,-2,Positif,2
main ancam lansung serang iran lucu,3,-1,Positif,2
amerika hadap kapal kapal rusia china kepala donald ganjel tali kapal,1,-1,Netral,0
amerika serikat ciut rudal kapal usak amerika serikat,1,-1,Netral,0
kapal amerika serikat,1,-1,Netral,0
bravo iran,1,-1,Netral,0
free palestine,1,-1,Netral,0
bravo iran,1,-1,Netral,0
rudal biar kasih paham donald kntl,1,-1,Netral,0
tunduk amerika serikat nasib irak perang habis habis,1,-3,Negatif,-2
allah lindung bangsa iran palestinae bangsarakus yahudi,1,-1,Netral,0
kapal us bilanv koalisi,1,-1,Netral,0
kasianhanya mulut sembah batu sesuai fakta lapanganmana iran usir kapal amerika serikat coba,1,-2,Negatif,-1
super power usiriran keren,3,-1,Positif,2
amerika niat jahat endus,1,-3,Negatif,-2
sasarn mantap target irankenapa lepas,1,-1,Netral,0
nuar ketua bangang negara minyak untung puluh billion harga minyak beban rakyat negara thailand filipina negara mengimport minyak harga wajar syarikat cari gali minyak negara bodoh tiada tanding walanon loncat girang kencing nuar,1,-3,Negatif,-2
allah ilah neng bangsa iran amin,1,-1,Netral,0
ngucap yahudi yahudi,1,-1,Netral,0
amerika serikat negara maludia fikir dunia milik,1,-1,Netral,0
tentara usir tabrak kapal nelayan vietnam masuk air indonesia kocak,1,-1,Netral,0
bumi hangus tentara israel biar tres,1,-2,Negatif,-1
hancur kapal amerika selat hormuz hhh donatram murka lengser ayo dunia lawan donatram biar semena mena dunia,1,-2,Negatif,-1
angkat laut iran pakai speedboat minimau usir kapal nuklir berita bodoh,1,-2,Negatif,-1
iran bangsa sia main main bangsa sia mati bangsa sia kenal ahli perang bamgsa sia bangsa tua amerika bangsa sia duluan,1,-3,Negatif,-2
sadar suara bocor,1,-2,Negatif,-1
logika rumah serang keluarga tinggal serang rumah ngamuk tetanggadan bilang menang rumah lawan sentuh,2,-2,Netral,0
trump tong kosong nyaring bunyi,1,-1,Netral,0
nya infonesia bodokin olh iran,1,-1,Netral,0
krasa krusu rumah betah rumah,1,-1,Netral,0
bikin malu msrakt indonesia tv nasional mnyiarkn berita hoax,1,-3,Negatif,-2
ane tv nasional indonesia bodokin olh brta hoax iran indonesia bodok jaja kbofohan,1,-1,Netral,0
trump cangkeman bacot,1,-1,Netral,0
serang besarklo habissiapkan rudal drone,1,-1,Netral,0
pokok amerika bikin kaya anak iran merengekpresiden lumpuh mnyerah iran nama yad menang trump nama menang capa kuasa lawan menyerahitu menangkalo rengek selat hormuz mng kalah,2,-3,Negatif,-1
tanggepan negara rusia china blokade selat hormuz amerika serikat,1,-1,Netral,0
semangat iranjangan kasih kendorsi amerika pusing cari teman bisamalah blokade dewa air presiden negarakocakamerika kaya bocah rebut makananpdhal daerahnyadasar serakah,2,-2,Netral,0
rakyat indonesia pro iran timbang iran lolos kapal minyak indonesia pura pura butuh minyak,1,-1,Netral,0
tolong pesan irgc mancing selat hormuz,1,-1,Netral,0
cuman ancam tenggelam,1,-2,Negatif,-1
pakai tedeng aling aling langsung ledakin harusnyaharusnya pakai biar sebelas belas laku negara paman kampret venezuela,1,-1,Netral,0
hancur ekonomi teroris amerika,1,-3,Negatif,-2
kakean dramakesuwenn tembakk aeeperang perangkakean,1,-1,Netral,0
amerika serikat israel keroyok habis iran adalagi negara target,1,-1,Netral,0
tramp paksa ompngan muter muter tuju perang tramp gila lengser muka bumi,1,-3,Negatif,-2
perang ngusir tembak coba pikir logika,1,-3,Negatif,-2
negara kacau anjg trump,1,-2,Negatif,-1
usir bon,1,-1,Netral,0
ayo iran kendor tembak kapal amerika,1,-1,Netral,0
sidonal setrum stresssmau blokir selat hormuz lawak,1,-1,Netral,0
hancur amerika serikat is rewel,1,-2,Negatif,-1
awak media bangga nyata iran mulut awak media ribet iran runtuh hamas hizbullah moga perang hancur hancur lihat tahan iran amerika israel suara cengeng perang militer duduk musnah,2,-3,Negatif,-1
iran langsung tancep pencet rudal kasih aba,1,-1,Netral,0
simak selesai kawan,1,-1,Netral,0
indonesia istimewa,1,-1,Netral,0
malu serang kapal amerika serikat tahan malu doang,1,-3,Negatif,-2
indonesi dukung iran iran,4,-1,Positif,3
wkwk amerika serikat mental banci,1,-2,Negatif,-1
amerika israel biang keladi kekacawan dunia,1,-1,Netral,0
oceh kerja trump pikun masuk kubur,1,-2,Negatif,-1
amerika serikat pilih gila presiden,1,-2,Negatif,-1
langsung tembak kapai usir,1,-1,Netral,0
sakit jiwa donald bebek laut atur sabar iran bom nuklir langsung diam donald bebek gedung perintah pusat ekonomi amerika serikat biar langsung selesai kapal induk pusat militer,2,-2,Netral,0
zionis amerika keparat sok kuasa ternak zionis pimpin negara indonesia,1,-3,Negatif,-2
indonesia campur urus konflik runding damai gagal prinsip dasar negara indonesia pancasila tindak konflik luas,1,-3,Negatif,-2
dear ancuk abisin kapal amerika serikat,1,-1,Netral,0
usirbaiknya langsung rudal,1,-1,Netral,0
tv hoaxs ngusir,1,-1,Netral,0
amerika serikat krisis global dunia kasihan negara masuk selat hormuz iran,1,-3,Negatif,-2
trumph anjing dongok gonggong fan sok jago halamsn jahanam jijik,1,-4,Negatif,-3
lucu donald,3,-1,Positif,2
kasihan amerika serikat sakit jiwa pakai presiden konggres maluturun segra tramp presiden,1,-3,Negatif,-2
allahu akbar moga allah menang iran lawan kedholiman amerika serikat israel,2,-2,Netral,0
sikat wilayah negara irancoba amerika laku marah,4,-1,Positif,3
rudal biar jalan laut,1,-1,Netral,0
aco usakapal negara perang blokir lootak strokesama perang negara perangdah kalah damai nglunjak,1,-3,Negatif,-2
gas irankasih paham asdonal bebek,1,-1,Netral,0
goblok banget donald bebek negara venezuela samain iran presiden tres,1,-1,Netral,0
kapal super power ciut,3,-1,Positif,2
amerika maluitukan wilayah irandasar rampok,1,-1,Netral,0
langsung rudal,1,-1,Netral,0
negara allah kasih bencana serkah,1,-4,Negatif,-3
loh iran kapal induk amerika laut selat hormuz usir bunuh warga masyarakat iran jabat jabat iran tinggal bom amerika luncur rudal rudal hebat kapal kapal induk amerika selat hormuz aneh iran iran luncur rudal rudal kapal kapal induk amerika jangkau jarak usir kapal kapal induk amerika iran aneh,4,-2,Positif,2
amerika serikat setor nyawa kesana,1,-1,Netral,0
usir amerika jajah selat hormuz bravo iran,1,-1,Netral,0
kasihan amerika pimpin badut,1,-3,Negatif,-2
main main iran binasa,1,-2,Negatif,-1
hoaxtribun syiah indonesia,1,-1,Netral,0
bravo amerika serikat israel,1,-1,Netral,0
knapa tenggelam sayang,3,-2,Positif,1
usir bom,1,-2,Negatif,-1
kelici nego genjatan cari sah tembak,1,-1,Netral,0
langsung bom,1,-2,Negatif,-1
akibat ulah amerika israel perang negara dunia alami kacau mayoritas ummat hujat amerika israel moga karma segara negara amin,1,-3,Negatif,-2
sikst biar hebat,4,-1,Positif,3
menang darah menang perang dasar bodoh otak bebal,2,-3,Negatif,-1
trump kabinet malu,1,-3,Negatif,-2
trumpetttt binatang,1,-1,Netral,0
perang tembak kapal,1,-3,Negatif,-2
iran negara lawan amerikaternyata amerika hebat gembor gemborkanmain keroyok klahpadahal serang duluan,4,-2,Positif,2
jebak selat hormuz logistik kaya makanminum dll,1,-1,Netral,0
bismilah hirohman nirohim lindung warga iran ilah menang pimpin tamaq serakah,2,-1,Positif,1
bubar pbbtdk fungsi manfaatnyamosok gabung negara duniatdk berani memberikn sanksi amerika israel,3,-1,Positif,2
amerika campur urus negara negara usak bikin gaduh,1,-1,Netral,0
trump polisi dunia kwkwkw,1,-1,Netral,0
kocak bikin rusuh negara dasar jajah,1,-2,Negatif,-1
langsung balas bukti nyata trump kaya prident indonesia bhong mulu,1,-1,Netral,0
amin masya allah assallamuallaikum,1,-1,Netral,0
hhhhhh amerika serikat,1,-1,Netral,0
alhamdulillah iran arab tunduk zionis,1,-2,Negatif,-1
allah kuat menang negara iran lebanon palestina,2,-1,Positif,1
pengin minyak minimal beli ngerampok dasar amerika serikat,1,-1,Netral,0
senjata masuk laut kasbia,1,-2,Negatif,-1
us army hama,1,-2,Negatif,-1
makna daulat buah negara,1,-1,Netral,0
moga perang jalan kalah,1,-3,Negatif,-2
omon kapal iran rudal amerika serikat,1,-1,Netral,0
berita indonesia,1,-1,Netral,0
langsung hancur,1,-1,Netral,0
alas amerika embel nato iran serang kapal amerika amerika bujuk nato ontek onteknya,1,-1,Netral,0
akal akal trump gencat senjata kirim kapal usak sapu ranjau,2,-2,Netral,0
