stopword removal,Score,Sentiment
wacana doang,-1,Negatif
amerika serikat israel kiamat cari musuh lemahsenjata bisnis,-2,Negatif
menang arang kalah abu damai,-1,Negatif
kasihan baca komentar pendukung iran kebodohannya dipelihara agama era keterbukaan informasi lihatlah channel youtube negeri obyektif iran menang tujuan iran membuka selat hormuz amerika serikat menghentikan blokade laut arab kapal kapal iran masuk pelabuhan iran amerika serikat mengendorkan blokade kapal masuk pelabuhan iran iran menyerah memenuhi tuntutan amerika serikat menandatangani perjanjian damai permanen dimana letaknya iran menang menghentikan program nuklirnya menghentikan dukungan proxynya timur dst dimana letak kemenangan iran,-7,Negatif
narasinya kebolak kebalik amerika serikat ngemis iran gencatan senjata dilebanon israel tekanan iran buktinya,-2,Negatif
iran menjajah negara persia,0,Netral
iran tekanan babak belur,-2,Negatif
blokade amerika serikat sia iran cerdas,-1,Negatif
iran bangkrut akibat blokade asselat dibuka kapal tanker israel berlayar,-2,Negatif
bravo amerika serikat,0,Netral
trump mengapai situ melawak dunia perduli kau,1,Positif
iran hati hati waspada genjatan senjata amerika israel donald iblis trump syitan nyahok manusia biadab culas lecek curang pembohong bermental maling jahat berhati iblis dipercaya,-4,Negatif
blokade jalan iran menipu,-1,Negatif
iran bargaining hebat,0,Netral
amerika serikat kena jebakancerdik iran,-1,Negatif
iran nyata dikutsk katik amerika serikat iran malu ketahuan terhormat menyerah coy,-2,Negatif
bilang iran ta iran keyakinan kuat teguh,-1,Negatif
iran hancur indonesia mimpi kasihan us membiarkan kapal iran masuk pelabuhan iran jago iran lawan malu justrus us kerumah iran melarang kapal kapalnya iran bergerak ditenggelankan,-3,Negatif
minyak barangbarang harga,1,Positif
dinamai negara adikuasa dunia printah turuti turuti hacur lebur,-1,Negatif
sengaja dibuka biar dunia bergejolak nice banget iran,0,Netral
negara berhak mengembangkan senjata nuklir amerika israelayo iran buatlah senjata nuklir melawan kesombongan amerika israel,0,Netral
iran militernya berlapis lapis cuman publik mamarika lawan iran bravo iran,0,Netral
iran nuklir israel berpikir ulang menginvasi kawasan melanjutkan program israel raya,0,Netral
ancaman zionis amerika serikat israel iran memikirkan ekonomi dunia negara,-2,Negatif
reporternya bicara iran penjahatnya nurut asu asu mengacak bangsa mengatur penguasa,-1,Negatif
buka kenyang angkut minyak bikin stok mikir strategikemungkinan mamarika menyerang pikirkan,0,Netral
buka selat hormuz serahkan hasil pengayaan uranium donald trump habis kesabaran iran zaman batu,2,Positif
cekek sadar wkwk untung matiin pemuja teroris habis,0,Netral
masya libanon abisas israel nosidt no nego,0,Netral
dibuka lebar lebar memusuhi kecuali trump otennyahu,-1,Negatif
jeniusamerika kejebak strategi iran,0,Netral
akibat ulah trump nguasai iran ekonomi dunia terganggu,-1,Negatif
berani tutup hormuzjika berani pelabuhan diblokade dagangnegara hancurekonomi bangkrutrakyat menderitamasih ego rezem,-2,Negatif
iran us menghentikan pembuatannya senjata nuklir hadapan sasaran mudah menggulingkan negara iranjadi us zionis iran hati hati mengambil keputusan,0,Netral
sekelas tvone termakan berita barat,-1,Negatif
kaya jalan buntu,-1,Negatif
bayar tol,0,Netral
terimakasih presiden amerikaandai blokade pelabuhannya iran iran menerapkan tol ilegalharus bayar tarif irankita perjuangan amerika kepentingan dunia,3,Positif
niat presidenkonohabukaselat,0,Netral
kakek pekun negara super poworlagi mainan iran love iran,1,Positif
negeri paramullah menyerah,-1,Negatif
amerika serikat kalah cerdik,0,Netral
cina bilang selat hormuz buka pasok senjata bantu pertahanan udara info intelegen buka selat hormuz negara respect,-2,Negatif
iran takut,0,Netral
dikhawatirkan pemasokan senjata isrewel membahayakan dunia,0,Netral
amerika blokade selat hormuzsampe rezim iran nyerah,-1,Negatif
memangnya penjajah sukanya semena mena apaliagi kuat menjajah rampok,-3,Negatif
uclim matian memuja iran fakta dibohongi,-1,Negatif
jabar qohar kuat kanlah negara iran berilah kemenangan sisimu rob,1,Positif
amerika negara super power negara odong odong,0,Netral
bravo iran pakistan yess,0,Netral
iran pintar trump bolkade tersudut kecamatan dunia,0,Netral
amerika donald trump masukan liang kubur,-1,Negatif
mult trump dipercaya mulut plin plantrump manusia laknat pengacau dunia,-1,Negatif
iran gencatan senjata amerika serikat menekan iran senjata nuklir rudal mending gempur amerika serikat rudal rudal enak amerika serikat maunya noklir rudal amerika serikat israel perang berlanjut bom gedung putih,-5,Negatif
iran tekanan mengikuti aturan amerika,0,Netral
amerika israel biang kekkacauan berhenti menyerang dunia aman,-1,Negatif
negara adidaya kerepotan lawan iran,-1,Negatif
menandakan iran dipercaya dunia trump terbukti pernyataan menlu iran terkait pembukaan selat hormuz harga minyak langsung turun drastis bravo iran,2,Positif
selat hurmus buka indonesia malak naikan harga bbm lucu,0,Netral
ahirnya menyerah bravo amerika serikat,-1,Negatif
kocak trump kaya anies kalah menang keturunan,-2,Negatif
bangsa persia memiliki iq bahagia mendengar berita standar ganda negara iran tertarik mencari negara sekolah iran membuktikan jati saran us jumawa malu bodohi negara kena sanksi,-4,Negatif
amerika bingung ulah israel bumerang,-1,Negatif
iran takut ancaman trump,-1,Negatif
dibukabiar buka paksa,-1,Negatif
iran kehabisan wang,0,Netral
irgc leyapkan aman irgc dibukapun selat hormuz aman,0,Netral
iranian rezim collapsed and surrender,0,Netral
amerika tutup selat hormuz balasan amerika,0,Netral
bravo iran,0,Netral
iran buka amerika blokir wkwkwkwk,-1,Negatif
penguasa selat hurmos adalh iranamerika penjajah kalah perang,-2,Negatif
iranpersia tempatnya sholehcerdaspemberani ahli perang,-1,Negatif
hancur buka selat hormuz,0,Netral
iran dipaksa membuka blokadenya selat hormuzsemua itujd memutar balikkan beritanyananti ditertawakan,-1,Negatif
lebanonpalestina taruhannya syarat dipatuhi iran iran menunduk terjawab,0,Netral
trump bikin kacau,0,Netral
israel tanah perang penjajah mengusai tanah negara,-2,Negatif
iran buka krisislucu asli awlanya nutup hormuz giliran dibantu nutup amerika ketar ketir pemerintah iran ego menang sok keras amerika blokir selat hormuz biar iran terpuruk pemerintahnya pintar mending berunding damai lu kalah telak rusak negaralu ayoklah indonesia iran kalah telak berharap menang kalah telak hormuz dibuka lagiplinplan lucu banget negara indonesia mikir iran menang kocak asli,-6,Negatif
politik iran akuin jago banget,1,Positif
perang silakan sipil kepentingannya terganggu,0,Netral
iran ahirua takut,0,Netral
gedung putih gedung hitam busuk mulutnya trump busuk,-4,Negatif
bravo iran senang hourmus buka pekerjaan pontang panting tukang bl solar industri,0,Netral
bingung tujuan perang amerika serikat israel buka hormuz perang dibuka rezim iran berdiri tegak nato amburadul pangkalan amerika serikat israel berantakan dukungan internasional iran mengalir deras anti semit meluas amerika serikat israel malu,-3,Negatif
iran maju membela harkat martabat bangsa nelibas kepicikan trump monyetanyahu,2,Positif
rezim iran sok an menutup selat hormusbisa berakibat fatalutk iran digempur asangkat bendera putuh menyerah,-2,Negatif
sabar sayang allah alhamdulillah dikasih jalan terbaik keresah kerusuh mengambil keputusan scenario sang khaliq mengukur iman,6,Positif
perang berhenti trump modar,-2,Negatif
iran tahan cina memaksa iran membuka konsesi ekknomi amerika iran pecundang,0,Netral
iran nuklirpun kalah menang allah swt mengutis malaikat memenangkannya allahuakbar,0,Netral
warga indonesia kejang kejang halusinasi pepesan kosong,-1,Negatif
apapun amerika bohong munafik,-1,Negatif
buka trump pusing keroyok negara berdamak selat hormuz,-1,Negatif
iran lemah,0,Netral
pola dasar kehidupan dunia berpasangan sebabakibat aksireaksi disebakandi awali serangan israhellasurika iran pembatasanpenutupan selat hormuz iran terbukti faktanya biang biang kekacauan kesengsaraan kehancuran penjajah teroris dunia sesungguhnya israhellasurika repot,-2,Negatif
ekonomi runtu dibuka iran nyali pecek sok pintar,0,Netral
libanon genjatan perang blokade,-1,Negatif
iran keok kodok,-2,Negatif
mantap iran,1,Positif
bagus rakyat menderita pemimpin mementingkan egonya sendirihidup jaya iran demokrasi,1,Positif
iran mementingkan kepentingan dunia tekanan amerika serikat israel,1,Positif
amerika kalang kabut menghadapi strategi perang iran amerika kongres amerika serikat perang iran bertujuan membuka selat hormuz diketawakan kongres amerika serikat seblum perang selat hormuz terbuka iran membuka selat hormuz alasan trump kongres amerika serikat kocak,-5,Negatif
iran buka selat hormuz amerika membuka paksa amerika membuka selat hormuz pelayaran internasional pelayaran pelabuhanpelabuhan iran diblokade amerika enak mengklaim iran membuka selat hormuz informasi sesuai fakta info bermutu,-2,Negatif
iran kalah,-1,Negatif
iran setuju pengayaan uraniumlebih perang,-1,Negatif
rakyat amerika menghentikan perang trump budak israel rakyat amerika mencegahnya,-1,Negatif
mending aya tepung donat aman tentram aya uranium beginila akibatnya,2,Positif
nyerah iran wkwkwk bentar iran mengasih nuklir amerika serikat kukira uran pantang menyerah kaya pslestina eh iran pengecut,-2,Negatif
bangkrut lanjutkan mantap,1,Positif
politik iran hebat tsklukan dajal kafir,-2,Negatif
marah tra capek peranglbh capek lelah,-1,Negatif
berkabung kadrun indonesia menjilat iran ee cemen lemah,-2,Negatif
pengamat pengamat timur meleset gembor gembarkan tv one amerika hebat menang telak iran mantap trump hebat,-1,Negatif
iran perang tepatnya perangi mengambil sikap bermartabatgak kelas banding preman preman dunia pakai jurus pendekar mabok,-1,Negatif
namanya taktik irankalau mamarika blokade biar negara nato berhadapan mamarika biar serang,-1,Negatif
kepandaian bangsa pilihan genius saking istimewanya membunuh tuhan lu elukan kaum penyembah tuhan dibunuh bangsa pilihan kaum penyembah tuhan dibunuh membela bangsa pilihan tuhannya dibunuh diludahi membutakan kaum penyembah tuhan dibunuh membedakan kejahatan kebenaran,9,Positif
iran hancur buka selar hormuz,0,Netral
hati hati israel bersikap munafik waspada,0,Netral
teruskanpengkayaanuranium gubris negara agresor keadilan,0,Netral
iran sokan blokade tarif kapal giliran blokade amerika takut iran iran hebat bangsa persia lgyg wilayah lindungi gunungyg susah ditembus musuhsaking jagox iransampai petinggi nyungsep,-1,Negatif
berita indonesia manipulatif contoh iran menang perang iran membuka selat hormuz amerika membuka paksa selat hormuz media indonesia menyesatkan,-3,Negatif
fokus dunia geser amerika serikat buka blokadenya,0,Netral
tipu irgc lanjutkan blokir pelabuhan iran,0,Netral
hariakan kejutan kembang api dunia,2,Positif
semudah iran atur atur amerika serikat,0,Netral
china dilawan,0,Netral
hihihii strategi domino hihihihiii kena prank amerika hihihihiiii,-1,Negatif
alhamdulillah iran menyerah melawan amerika serikat,0,Netral
wowo tim mediasi,-1,Negatif
bravo iran atur amerika israel pertahankan tuntutan ajukan kedaulatan negara iran,1,Positif
alhamdulillah barakallah,1,Positif
negara mengolah nuklir negara sebebas bebasnya mengembangkan curang iran berani melawan,-1,Negatif
trik iran membuka selat hormuz,0,Netral
ye kanakhirnya iran takut amerika pemblokiran selat hormuz blokir pemasukan iran kapal kena pungli milyaran disitu,-3,Negatif
semoga terbukanya selat hormuz perang eropa timur dibawa selatselat asia terutamanya selat malaca,-1,Negatif
pakai siyamto sakit bp lurah tambas kismoyoso ngemplak boyolali jawatengah,-1,Negatif
dunia bernafas lega sukran iran,0,Netral
tindakan berhatihati memutuskan menyeimbangin kekuatan amerika negarapun campur,3,Positif
awas amerika licik kali menghianati kesepakatan gencatan senjata,0,Netral
iran nuklir nuklir menumpas manusia jahat israel amerika,-1,Negatif
aduh reporter mengomong lambat kebanyakan eee eee eeeee berita internasional loh,1,Positif
tunggu kejatuhan amerika serikat pemimpin arogan sombong,-1,Negatif
strategi iran top,1,Positif
oten mendukung israel indonesia dibumi hanguskan,0,Netral
rencananya amerika iran kuyakin iran disuruh tunduk jiwa revolusi iran,-1,Negatif
nyerah amerika serikat lawan babak belur ente,-2,Negatif
china terganggu penutupan selat hormuz iran didukung impor china arab teluk iran,-1,Negatif
serangan bergelombang isrewel stop,-1,Negatif
allhmdllh semuga harga barang turun,1,Positif
bravo iranbikin nuklir yajangn nurut tramuntuk jaga kedaulatan iran,0,Netral
iran palestine rusia,0,Netral
iran mantappppppp teruskan lawan amerika serikat israel musnahkan muka bumi bikin gaduh,0,Netral
strategy donald trump mantab,0,Netral
idonald trump netanyahu,0,Netral
iran menyerah ekonomi hancur amerika memblokir selat hormuz amerika mengijinkan kapal iran selat hormuz mati kutu ekonomi iran jebol bol,-2,Negatif
iran membuka blokade selat hormuz tutup rame ah krisis ekonomi berkepanjangan,-2,Negatif
iran negara lemah bertekuk lutut cium kaki amerika,-1,Negatif
iran siasat bravo iran,0,Netral
wkwkkwksetelah blokade total iran mencret terlambat us navy blokir total iran kelaparan,-2,Negatif
good amerika serikat,1,Positif
iran pintar buka blokadeus penjahat total nge blokade,0,Netral
pusing seribu kali keliling berurusan amerika pusing nurut apapun lakukan amerika tujuan dunia mencega membahayakankan negara menceganya,-2,Negatif
iran cerdas bikin jebakan amerika serikat,1,Positif
indonesia kemampuan nyocot,1,Positif
hukum adil netanyahu trump kejahatan perang lebanon palestina suriah,-1,Negatif
who is trump dictate other countries,0,Netral
kayaknya indonesia gampang prank nego tarif trump deal pengadilan amerika membatalkan kebijakan trump tarif dealan migas rusia hormuz dibuka pejabat pemikiran visioner kagak sihanalisis mendalam,-2,Negatif
amerika serikat sok kuasablokadeselat duniapunya nya rame jauhi amerika serikat kerja ekonomidagang dll negara pikir lucu sibuk dekati amerika serikat pdh amerika serikat itujahat penipucari untung,1,Positif
alhamdulillah teroris syiah iran laknatulloh pembunuh muslim suni suriah lebanon irak yaman menyerah sok sok an lawan negara adidaya hancur prabowo notabene militer berani lawan donald trump,0,Netral
iran kembangkan senjata tercanggihmu hadapi gempur amerika serikat israil super kejam penjajah rakus haus darah berdosa,-3,Negatif
hai dunia perang kasihan masyarakat sipil,0,Netral
pemain bola robert lewandoski benjamin netanyahu mata menatap netanyahu polandia,-2,Negatif
kecewa pemilih prabowo condong amerika iran amerika pro penjajah israel,-1,Negatif
ktar ktir,0,Netral
islam indonesia kejang muntah darah mendengar berita iran dipaksa membuka selat hormuz iran kena blokade amerika iran kesulitan ekonomi total,-4,Negatif
coba hayati seteduhteduhnyajika kebangsaan iran benarbenar berniat memusnahkan bangsa israelsedangkan bangsa israel musnahkan sadar musnahkansebodohbodoh setololtololnya bangsa membela diritidak bodoh tololnya kesadaran biarkan terjadiapapun alasannya,-1,Negatif
bolak selat hormuz dikuasai amerika buka amerika iran,0,Netral
breaking news menit kemarin lihat berita real tutup sengaja biar market oil turun hahaha intinya ucapan trump kau percaya hahaha lucu,0,Netral
elah dikit post tolong menit kemarin tutup hahaha pastikan beritanya tutup,-2,Negatif
untung us byr duit jago iran,1,Positif
iran terpaksa membuka selat habis uang takut penjualan minyak,-1,Negatif
berita indonesia penuh taqiyah paksa selat hormuz militer amerika menghancurkan angkatan laut iran,-4,Negatif
iran maju terusini negaramujangan suruh bangsa,-1,Negatif
iran pintar n donald trump terjebak donald trump selat hormuz dibuka iran amerika serikat blokade selat hormuz eh iran dibuka penuh amerika benarbenar dipermainkan iran,0,Netral
iran tundukmantap iran mengerti kondisi adasemoga dibuka selat hormuz harga logistik stabildan perang berhenti totalyang terbaik dunia damai,1,Positif
iran bilang lho mengaca trump larang larang,-2,Negatif
lawan fakta,-1,Negatif
irann konyoll abisssmau ttup blokadeakhirnya nyerahhhh dechhhh,0,Netral
kacaunya dunia iran syiah ratakan iran syiah dunia aman iran syiah mengusai timur arab saudi makka madinahiran syiah isiam mengusai umat muslim,0,Netral
bravo iran,0,Netral
itukan amerika serikat berita iran nuklir,-1,Negatif
nurut iran perintah amerika,0,Netral
amerika suapa lu buka buka selat hormuz,0,Netral
buka iran us blokade total iran terpaksa buka barang masuk iran daging telor minyak goreng sayuran alat elektronik dll rakyat iran mati terpaksa buka iran setuju permintaan us us buka selat hormuz iran,-3,Negatif
iran buka vi amerika serikat iran plonga plongo,0,Netral
info duga sesuai fakta narasi reporter mengikuti klaimnya trump,-1,Negatif
tunduk iran amerika tunduk digebuk amerika,0,Netral
hancurkan armada amerika mengikuti permintaan trumpet,0,Netral
blokade amerika serikat berhasil iq pea paham logika babak belur berharap iran menang melawan super power,0,Netral
perang trump ajal,-1,Negatif
indonesia menutup selat malaka,-1,Negatif
eh lapet narasi stasiun tv,-1,Negatif
iran bermain biarkan lihat sikon trump mumet ngadepin paus leo gegara mulut trump ahlak etika menonton eropa vs teroris amerika,-3,Negatif
iran is bestbikin amerika serikat kebingungan tingak tinguk,-1,Negatif
akalan iran buka kapal biar amerika serikat pusing mensortir kapal seludupan iran taktiknya membanjiri selat kapal biar menyeludupkan bahan pembuat rudal,-6,Negatif
iran senjata nuklir mengimbangi israil amerika serikat,0,Netral
peliiiii ntiir yoooook he he he media indonesia pe o tukang belok fakta,-1,Negatif
amerika serikat bangkeslalu kalah strategi iran,-1,Negatif
iraannn takut bom amerika serikat kanjut perang mati hidup pilihan,0,Netral
bangsa tingkat kecerdasan,1,Positif
bravo iran,0,Netral
pusing donald,-1,Negatif
makassar hadir menyimak,0,Netral
anjing oblis trump matinya,-1,Negatif
irgc iran mengaku kalah,-1,Negatif
blokade berakir mengenaskan tua kapal kapal tempur mencegat dron misil iran,-4,Negatif
ratakan iran,0,Netral
lu want peace has ready war,1,Positif
hajar aswad tuntut nyawa manusia,-2,Negatif
semoga selat hormuz n kuburan massal bunuh perompak n perampok pluss teroris dunia gerombolann amerika serikat,-1,Negatif
amerika takut,0,Netral
takut amerika,0,Netral
allah rohman rohim semoga rakyat iran umat muslim sedunia lindungan allah swt amin amin amin rabbal alamin bravo iran,4,Positif
i love you iran,0,Netral
alasan kuat persiapan perang dunia,0,Netral
meliter iran tempur jual beli ngater ratakan ratakan abu,1,Positif
berharap perang cina rusia blokade asurika,-1,Negatif
trump kakepaling serakah sedunia miskin dasar pikun,-2,Negatif
amerika serikat menahan pakkalau ikutkan hati hati iran padang pasirfikir lojik,-1,Negatif
tembak je ladia bedil negara kau xde plak nk warning,-1,Negatif
hajar iran rudal balistik,-1,Negatif
bravo iran,0,Netral
pakai aba aba peringatan ran gas amer jaya iran,2,Positif
tembak iran maksa masuk selat hormuz,-3,Negatif
trumpil stres berani perang darat nyuba perang laut,-3,Negatif
iran tenggelamkan kapal amerika usir,-2,Negatif
ayo iran kasih kendor hancur israel habisi tentara amerika serikat,1,Positif
n lb,0,Netral
kalah nego dajjald tramp bego,-1,Negatif
amerika menjinikkan,0,Netral
drama perang,-2,Negatif
tamu undangbuat pulang nama,0,Netral
mbah trump turu wae enak golek kerjanan,-1,Negatif
amerika israel negara penjajah semoga telan laut allah iniamin,0,Netral
indonesia lawan korupsi kagak bisaapalgi lawan negara,-2,Negatif
matilah penjajah antekanteknya bravo dunia islam,1,Positif
usir rudal,-1,Negatif
iran menang allahu akbar,0,Netral
gertakan sambel ujung ujungnya keook,-2,Negatif
amerika negara kocak negara mengatur pemimpin amerika memilih amerika tuhan mengatur mengatur negara sampah amerika,-1,Negatif
allahu akbar allahu akbar allahu akbar,0,Netral
indonesia mengemis bbm singapore malaysia sorry no indonesia hebat kaya sumber alam gas najis lembu kah kah kah,-4,Negatif
trump gila,0,Netral
habisi amerika serikat mantap,1,Positif
juoosss bravo iran,0,Netral
wohoo bbm murah,0,Netral
negara lran agama syiah suni kafir n lslam mendukung palestina dizalim amerika lsrael hancurkan negara palestin usir rakyat kemanusiaantidak pakatan damaitunggu balasan allah kafir jahat,-2,Negatif
amerka lsrael negara arab lsrael raya rompak minyak iran perang amerika serang duluanlran negara lslam arab sadar bahawa amerika lsrael rompak minyak n tunduk merekalran sadar,-4,Negatif
kenoa amerika damai n hantar kapa perosak izin masuk kawasan,-2,Negatif
kesombongan kerugian signifikanbravo iran,-1,Negatif
niat merampok kilang minyak milik iran samakan bangsa persia kaumnya salman alfarisi negara muslim penjilat,0,Netral
beralasan perairan internasionalitu cerminan licik penakut,0,Netral
berita tergantung sumbernya versi berbeda,-1,Negatif
trompet gila memilih percaya negara jaya tangan,3,Positif
sikap bangsa berani rakyat pemerintah negara maruah negara tolak sikap bacul penakut mati,1,Positif
diusir tembak langsung,-1,Negatif
umat bersatumntap,1,Positif
amerika israel dalang,0,Netral
hak iran trump kuasanya selat hormuz dasar amerika negara adikuasa sombong semoga cepat mampus manusia setang,-1,Negatif
iran menembak disuruh putar,-1,Negatif
bravo iran,0,Netral
gunting gunting gunting kabelnya gunting kabelnya,0,Netral
bombardir amerika serikat sewenang wenang iran negara anti amerika serikat negara mendukung iran,-1,Negatif
presiden amerika serikat donald trump budak pm israel netanyahu,2,Positif
semoga kemenangan iran pembela sejati palestina,1,Positif
amerika israel real penjajah terkutuk,0,Netral
allh semoga bencana alam amerika,-1,Negatif
amerika memblokade selat hormuz menyapu ranjau laut dipakai kebutuhan internasional kapal kapal aman,-1,Negatif
iran rudal ribuan melindungi negara,0,Netral
bicara iran lasung rudal amerika serikat lasung rudal kemarin jet tepurnya,0,Netral
suka suka je blok kapal negara,-1,Negatif
lanjutkan iran takut allah bersamamu doa untukmu usir merekapulang negaranya amerika serikat serakah tamak,2,Positif
syiah iran laknatullah pembunuh umat islam surya iraq hancur,2,Positif
subhanallah persatuan rakyat pemerintah mempedulikan,0,Netral
kapal amerika langsung ledakan diperingatkan langsung rudal,1,Positif
iran kerenmengusir yahudi langsung membunuh,1,Positif
selat hormuz negara amerika sehat,0,Netral
kapal perang amerika serikat pengecut digertak langsung ciutt kabur,-2,Negatif
laut hormuz daerah kekuasaannya iran,0,Netral
iran pakai peringatan rudal kapal al israel kasih peringatan langsung tenggelamkan,0,Netral
trump berhbtila kau mengomong beespekulasi ngonkong lhomatilho lawan tentara allah swtallah ygmiliku dunia iniallah bantu iran sayng iranaamiiin,1,Positif
amerika serikat israil kiamat tengelam bumiselmat iran rusia china koeut pkistan tengelamkan diamerdekaaamiiin,-1,Negatif
malas menonton tv berita indonesia hoax,-3,Negatif
opung trump negara kuasai stel rumah,1,Positif
trump sia teh jalma goblog jiga jurig sarakah ngarasa kawasagoblog euweuh prikamanusaan,0,Netral
hajar hancurkan hercules lawan guliat,-1,Negatif
allahu akbar free palestine ilove you iran,1,Positif
tandanya iran negara beradab menyerang diserang kaya dajjal trump sok berkuasa menyerang dimana adabnya kurasa udk lari otaknyaudh gila kekuasaan kasihannyalah manusia hidup kaya semoga dijauhi sifat dajjal trump,-3,Negatif
rudal iran amerika serikat selat hormuz,0,Netral
status perang adegan mengusir knapa dirudal,-3,Negatif
allah iran allahuakbar,1,Positif
mahu menjajah negara lainmesti kehendak iran bangsa berani bijak menghadapi halangan propaganda imperialis,0,Netral
semoga iran lindungi allah amin,1,Positif
negara kecuali iran takut amerika,0,Netral
donald bebek trump penjahat puncuri nyata dunia,0,Netral
cari cari dibantai pergi tenggelamkan amerika serikat kalah bidang berpikiran kotor,-4,Negatif
tuhan yesus kristus memberkati operation epic fury amin,1,Positif
iran china rusia korut runtuh unisoviet amin,-1,Negatif
teknologi iran china rusia korut macan kertas penuh kepalsuan,0,Netral
susahnya presiden odgjseenaknya menyerang negara berdaulatbetul presiden tolol,-1,Negatif
berita indonesia hoax banyakomong kosongdasar pendukung iran dajjal,-1,Negatif
donald trump mengapai ngotak ngatik negara donald otak bebek,0,Netral
kapal selam hancurkan kapal musuh,-3,Negatif
semoga iran dibom hancur negara tetangganyahnya resah doang,-1,Negatif
kaya raja blok kade trumpalasan iran nuklirbrasa negara berani lwan amerikahanya iran berani lwandasar donald bebek,0,Netral
otaknya berisi taii percaya,0,Netral
beww iran keren dukung amerika kukira iran kalah amerika amerika kalah,-1,Negatif
percaya ucapan iran tipu tipu amin allahuakbar,1,Positif
kanoha beritanya spitboot iran mengusir kapal induk amerika serikat membawa jet tempur drone cangih kapal perang perusak milik aslucu,-3,Negatif
mah propaganda iran warga irgciran mah babak belur beranii lawan warga sipil iran dibantai ribu rezim bengis khamenei membantai islam suni suriah ribu lebanonyamansaya muslim pro rakyat amerika serikat israel rezim bengis khamenei pembataian islam suni suriah ditampilkan dimedia indonesia kompas kagumi letoy hidup rakyat iran semoga allah swt melindungi dixaman penuh kemunafikan amerika serikat n,-3,Negatif
tangan trump kehancuran amerika didepan mata,0,Netral
kpannnbiar rugi,-1,Negatif
teoritis kapal bergerak lambat dilimdungi meriamphalanx,0,Netral
gila kali amerika serikat,0,Netral
trump presiden arogan memuakan pemicu keributan dunia internasional,0,Netral
allohumma parriq jamahum wa aqlil adadahum waqosri umurohum,0,Netral
amerika cemburu banget iran berdiri kaki sipatnya kafir dipungkiri jaman,-1,Negatif
trump pemimpin gaya bicara mulut penuh kotoran tahi,-3,Negatif
kompas beritanya hoax,-2,Negatif
tembak kapal perang amerika,-3,Negatif
waduhhhhkompas tv cari pengamatyg dikit pengamat husen gaza pakai,-2,Negatif
bodohin hoaxkenapa tembak hormuzmaz kapal disana coba cek kompas tv menipu beritaparah,-5,Negatif
donald duck trump is a real psychopath and terrorist hi trump straith hormuz is belong iran your country,2,Positif
amerika kocak,-1,Negatif
usin iran kapal amerika serikat lawan takut beravo iran dukung iran,0,Netral
habisi kapal amerika serikat bravo iran,-1,Negatif
bikin mati marinir amerika serikat bkerja gaji gede trump sabodoteing,0,Netral
donald penjahat sebenar apapun dalih musnah,-2,Negatif
semoga bangsa setan musnah dunia,-2,Negatif
genjatan senjata alasan amerika serangan,-1,Negatif
trump stres blokade senin selasa hoax omongan,-3,Negatif
banggax iran,0,Netral
usirkan tinggal pencet,-1,Negatif
tinggal tekan tombol habis,0,Netral
ah bullshit ber duakek tahi perang lekaslah perang selesai nyusahain manusia sedunia,-2,Negatif
dukung negara amerika lawanmu kecuali dunia kiamat,0,Netral
iran menang tinggal speedboat doankmelawan armada kapal industry lengkap haluu banget berita kompas,-3,Negatif
kalain aas istael akann kalain malu,0,Netral
amerika menganut ideologi penjajah,1,Positif
iran pantang menyerah lawan negara superpower mamarike negara perusuh isriwil vs belajar mundur diperlakukan dzalim lawan monster berjuang tetes darah biarkan mamarike iran mudah lawan cina rusia jaman beda jaman sekutu sekutuan pengecut,-6,Negatif
keegoisan amerika menguasai hak kebebasan perdagangan negara,0,Netral
kenap langsung rudal kapal perang musuh,-2,Negatif
irang cuman menng media indonesia,0,Netral
hebat salut iran berdiri tegak mengusir penjajah dunia sombong rakus perusak duniayaitu negara penggenosida suku indian negara amerika bravo iran,-2,Negatif
asurika penjajah moderen,0,Netral
speed boat vs kapal perang perusak,-2,Negatif
mengusir berani menembak,-1,Negatif
kapal amerika membawa peluru kendali pesawat pengintai dron pengintai,-5,Negatif
iran bom kapal perusak amerika selat hormuskarena ajan bergabung kapal ampibi yan membawa pesawat tempur f laiteing f reptor,-4,Negatif
mantap iran,1,Positif
allahu akbar,0,Netral
kapal israel langsung dihancurkan iran pikir menembak kapal,-1,Negatif
lindungilah iran allah berikanlah kemenangan perang,0,Netral
isrel ratakan ribuan rudal irn jawabana islam mengajarkan perang melawan lakilaki perempuan anakanak,0,Netral
panic indonesia hayo bahlil,1,Positif
nasranisaya akui trump gila stres setuju kebijakan melanggar hukum perdamaian dunia tetapiada rubah memandang perang inikebanyakan netizen indonesia iran negara islamiran berdiri agama memandang agamaapakah perang agama tolong agama iran nasrani agama laindan pikir perang agamakalau perang agamasaya perang,-10,Negatif
diusir tepatnya dirudal biar tenggelam,-1,Negatif
iran berpikir kali menghadapi koalisi iran rusia china korea utara,0,Netral
i love you iran,0,Netral
usir langsung tembak,-1,Negatif
iran lebay cuman kapal perusak doang masuk wilayah pura pura indonesia kapal induk amerika masuk laut aceh papa diam,-5,Negatif
dikit venejuela dikit venejuela taii trump trump,-2,Negatif
hidup irantuhan memberkati amin yra,0,Netral
fanboy amerika serikat israel entar howak sakit mata kah sakit telingakah,-3,Negatif
kabar kapal induk amerika serikat iran detik kunjung,-1,Negatif
teriak bravo israel sono pergi israel indonesia ngakunya sodara agama ludahi,-2,Negatif
